symbol,fiscal_year,quarter,eps,eps_a,dps,roe,net_profit,paidup_capital,pde,pe,price
ACLBSL,082/083,q4,27.79,27.79,24.31,15.36,102017981.0,367143409.0,38.54,33.72,937.0
ADBL,082/083,q4,16.11,16.11,6.54,7.89,2630641835.0,19738231090.0,46.48,18.87,304.0
AHL,082/083,q3,-14.48,-19.26,-19.26,-26.99,-49240484.0,340000000.0,-21.83,-29.04,420.5
AHPC,082/083,q3,4.41,4.41,4.41,3.97,133685442.0,4040403150.0,60.07,60.07,264.9
AKJCL,082/083,q3,2.56,2.56,2.56,2.07,38335960.0,2000000000.0,140.62,140.62,360.0
AKPL,082/083,q3,4.92,4.92,4.92,4.75,143780053.0,3895942100.0,51.46,51.46,253.2
ALBSL,082/083,q4,32.63,32.63,26.91,24.85,261939317.0,802685677.0,41.73,34.41,1122.9
ALICL,082/083,q3,9.26,10.54,8.26,7.39,347386584.0,5001159208.0,50.85,45.36,420.0
ANLB,082/083,q4,69.71,69.71,69.71,19.24,62399530.0,89507200.0,76.32,76.32,5320.0
API,082/083,q3,13.76,13.76,13.76,11.9,658546633.0,6379724199.0,24.19,24.19,332.9
AVYAN,082/083,q4,57.04,57.04,18.09,35.93,142608423.0,250000000.0,59.43,18.85,1075.0
BANDIPUR,082/083,q3,-0.57,-0.53,-0.53,-0.83,-16262387.0,2829993000.0,-1308.49,-1216.67,693.5
BARUN,082/083,q3,2.01,2.01,2.01,1.86,16953841.0,1122532425.0,159.2,159.2,320.0
BEDC,082/083,q3,0.54,-0.12,-0.12,-0.26,-508411.0,544053400.0,-2661.67,591.48,319.4
BFC,082/083,q3,8.8,8.8,-54.95,7.79,58755958.0,890424236.0,-8.83,55.11,485.0
BGWT,082/083,q3,11.16,11.16,11.16,9.88,56770296.0,678239900.0,46.07,46.07,514.1
BHCL,082/083,q3,7.82,10.43,10.43,9.49,71083096.0,909101300.0,50.06,66.76,522.1
BHDC,082/083,q3,9.92,19.83,19.83,16.13,117655737.0,1186290000.0,21.58,43.15,428.0
BHL,082/083,q3,8.59,8.59,8.59,10.72,235658816.0,3655940000.0,24.56,24.56,211.0
BHPL,082/083,q3,-0.44,-0.58,-0.58,-0.39,-1098032.0,250000000.0,-844.66,-1113.41,489.9
BJHL,082/083,q3,,-3.26,-3.26,-3.66,-24428841.0,1000000000.0,-213.5,0.0,696.0
BNHC,082/083,q4,1.81,1.81,1.81,1.5,12074483.6,800000000.0,156.3,156.3,282.9
BNT,082/083,q3,229.0,305.0,305.0,9.7,277051000.0,121000000.0,38.11,50.76,11625.0
BOKL,079/080,q1,10.57,,1.22,6.05,280615308.0,10623994072.0,0.0,0.0,
BPCL,082/083,q3,8.78,11.68,11.68,5.55,299317000.0,3409065000.0,55.21,73.45,644.9
BUNGAL,082/083,q3,-0.59,-0.78,-0.78,-0.93,-4889998.0,830000000.0,-743.72,-983.22,580.1
CBBL,082/083,q3,33.41,33.41,72.18,13.78,906476531.19,3617264101.5,12.93,27.94,933.5
CBL,079/080,q2,14.04,,11.08,10.32,637022000.0,9075844000.0,0.0,0.0,
CCBL,079/080,q1,13.34,,0.95,10.22,318515000.0,9553909000.0,0.0,0.0,
CFCL,082/083,q3,5.19,5.19,-30.36,4.52,36938261.0,948875459.0,-21.05,123.12,639.0
CGH,082/083,q3,-0.58,-0.58,-6.13,-0.77,-9384489.0,1610795550.0,-126.87,-1340.86,777.7
CHCL,082/083,q4,7.59,7.59,7.59,6.13,720059200.0,9484988680.0,63.1,63.1,478.9
CHDC,082/083,q3,61.05,61.05,61.05,23.66,473558982.73,1034237061.0,36.49,36.49,2228.0
CHL,082/083,q3,2.44,3.25,3.25,3.81,18885663.0,773955000.0,82.77,110.25,269.0
CIT,082/083,q3,19.32,19.32,19.32,13.1,986059000.0,6805798000.0,87.99,87.99,1700.0
CITY,082/083,q3,-4.6,-6.12,-6.12,-6.3,-138746756.18,3013200000.0,-59.64,-79.35,365.0
CKHL,082/083,q3,3.23,3.23,3.23,4.76,12903515.0,400000000.0,185.94,185.94,600.6
CLI,082/083,q3,9.6,9.26,9.6,7.3,360040098.0,5000000000.0,45.83,45.83,440.0
CORBL,082/083,q3,12.26,12.26,-9.81,8.78,48263019.0,525000000.0,-107.85,86.3,1058.0
CREST,082/083,q3,1.21,3.13,2.15,1.93,12102537.0,750000000.0,548.37,974.38,1179.0
CYCL,082/083,q3,26.74,26.74,15.54,9.9,53430930.0,266424390.0,87.19,50.67,1355.0
CZBIL,082/083,q3,11.23,11.23,-3.25,7.39,1306461348.0,15507463614.0,-62.37,18.05,202.7
DDBL,082/083,q4,48.15,48.15,48.15,21.22,989443903.0,2055114266.0,17.72,17.72,853.0
DHEL,082/083,q3,-3.25,-4.32,-4.32,-3.38,-33484771.0,1030500000.0,-137.5,-182.77,594.0
DHPL,082/083,q4,5.51,5.51,5.51,65.79,14555045.0,264000000.0,51.91,51.91,286.0
DLBS,082/083,q3,18.29,18.29,-27.09,12.27,18255500.86,133100000.0,0.0,0.0,
DOLTI,082/083,q4,0.87,0.87,0.87,1.45,4768637.0,549986000.0,367.7,367.7,319.9
DORDI,082/083,q3,6.22,8.27,8.27,7.84,131121913.0,2108520800.0,30.71,40.84,254.0
EBL,082/083,q4,36.95,36.95,38.32,15.1,5069936000.0,13721376000.0,19.0,19.7,728.0
EDBL,082/083,q4,24.76,24.76,14.38,14.85,309400746.84,1249694470.93,40.26,23.38,578.9
EHPL,082/083,q4,3.39,3.39,3.39,4.45,21033372.0,620000000.0,99.41,99.41,337.0
ENL,082/083,q3,4.26,4.26,6.14,0.15,667721.0,555600000.0,134.19,193.4,823.9
FMDBL,082/083,q4,14.18,14.18,10.13,13.74,190728215.0,1344871323.0,81.93,58.53,830.0
FOWAD,082/083,q3,13.62,18.15,-33.48,7.56,162835703.0,1195953710.0,-28.22,69.37,944.8
GBBL,082/083,q4,28.04,28.04,20.23,16.94,1688666310.0,6021348367.0,20.94,15.11,423.7
GBIME,082/083,q4,16.34,16.34,12.02,9.13,6227156000.0,38115853000.0,21.04,15.48,252.9
GBLBS,082/083,q3,30.0,40.0,9.11,13.52,301588718.0,1005350000.0,79.35,24.1,722.9
GCIL,082/083,q3,-3.16,-4.2,-10.54,-0.96,-158668165.0,5024454270.0,-32.64,-108.86,344.0
GFCL,082/083,q3,14.28,14.28,1.46,6.88,101336496.0,946115200.0,413.01,42.23,603.0
GHL,082/083,q3,-1.61,-2.18,-2.18,-2.3,-26607570.11,1620000000.0,-114.22,-154.66,249.0
GILB,082/083,q3,45.16,45.16,19.92,20.98,219594481.0,648297797.0,56.91,25.1,1133.7
GLBSL,082/083,q3,40.62,40.62,30.39,18.04,40327577.44,132358053.75,56.99,42.64,1732.0
GLH,082/083,q3,2.18,2.18,2.18,1.95,29411077.0,1800000000.0,119.77,119.77,261.1
